"Intent","TrainPhrase"
jobBoard.update,"{""en-US"": ""make adjustments to job board""}"
jobBoard.update,"{""en-US"": ""upt job board now""}"
jobBoard.update,"{""en-US"": ""job board correction""}"
jobBoard.update,"{""en-US"": ""job board adjustments""}"
jobFamily.activate,"{""en-US"": ""job family activation""}"
jobFamily.activate,"{""en-US"": ""init job family""}"
jobFamily.activate,"{""en-US"": ""activ job family""}"
jobFamily.activate,"{""en-US"": ""start job family activation""}"
jobFamily.activate,"{""en-US"": ""launch job family""}"
jobFamily.activate,"{""en-US"": ""open job family""}"
jobFamily.activate,"{""en-US"": ""switch on job family""}"
jobFamily.activate,"{""en-US"": ""turn on job family""}"
jobFamily.activate,"{""en-US"": ""initiate job family""}"
jobFamily.activate,"{""en-US"": ""activate job family""}"
jobFamily.create,"{""en-US"": ""begin job family""}"
jobFamily.create,"{""en-US"": ""establish new job family""}"
jobFamily.create,"{""en-US"": ""start new job family""}"
jobFamily.create,"{""en-US"": ""establish job family""}"
jobFamily.create,"{""en-US"": ""set up job family""}"
jobFamily.create,"{""en-US"": ""make job family""}"
jobFamily.create,"{""en-US"": ""add job family""}"
jobFamily.create,"{""en-US"": ""create job family""}"
jobFamily.create,"{""en-US"": ""start job family""}"
jobFamily.create,"{""en-US"": ""new job family""}"
jobFamily.create,"{""en-US"": ""make a new job family""}"
jobFamily.create,"{""en-US"": ""job family new""}"
jobFamily.create,"{""en-US"": ""add a jobfamily""}"
jobFamily.create,"{""en-US"": ""job family create""}"
jobFamily.deactivate,"{""en-US"": ""please stop job family""}"
jobFamily.deactivate,"{""en-US"": ""stop job family""}"
jobFamily.deactivate,"{""en-US"": ""turn off job family""}"
jobFamily.deactivate,"{""en-US"": ""shut off job family""}"
jobFamily.deactivate,"{""en-US"": ""inactivation job family""}"
jobFamily.deactivate,"{""en-US"": ""inactivate job family""}"
jobFamily.deactivate,"{""en-US"": ""disconnect job family""}"
jobFamily.deactivate,"{""en-US"": ""deactiv job family""}"
jobFamily.deactivate,"{""en-US"": ""disable job family""}"
jobFamily.deactivate,"{""en-US"": ""deactivate job family""}"
jobFamily.delete,"{""en-US"": ""get rid of job family""}"
jobFamily.delete,"{""en-US"": ""take away job family""}"
jobFamily.delete,"{""en-US"": ""elim job family""}"
jobFamily.delete,"{""en-US"": ""eliminate job family""}"
jobFamily.delete,"{""en-US"": ""rem job family""}"
jobFamily.delete,"{""en-US"": ""remove job family""}"
jobFamily.delete,"{""en-US"": ""del job family""}"
jobFamily.delete,"{""en-US"": ""delete job family""}"
jobFamily.delete,"{""en-US"": ""I need to remove a job family""}"
jobFamily.delete,"{""en-US"": ""I need to take away a job family""}"
jobFamily.delete,"{""en-US"": ""Make job family eliminated""}"
jobFamily.delete,"{""en-US"": ""Deletion of job family""}"
jobFamily.delete,"{""en-US"": ""I want get rid of job family""}"
jobFamily.update,"{""en-US"": ""modif job family""}"
jobFamily.update,"{""en-US"": ""job family updt""}"
jobFamily.update,"{""en-US"": ""make adjustments to job family""}"
jobFamily.update,"{""en-US"": ""correct job family""}"
jobFamily.update,"{""en-US"": ""edit job family""}"
jobFamily.update,"{""en-US"": ""adjust job family""}"
jobFamily.update,"{""en-US"": ""modify job family""}"
jobFamily.update,"{""en-US"": ""change job family""}"
jobFamily.update,"{""en-US"": ""update job family""}"
jobFamily.update,"{""en-US"": ""make updates to job family""}"
jobFamily.update,"{""en-US"": ""correct a job fam""}"
jobFamily.update,"{""en-US"": ""update job fam""}"
jobFamily.update,"{""en-US"": ""update job branch""}"
jobFamily.update,"{""en-US"": ""job family edit""}"
jobOffer.create,"{""en-US"": ""Give me a new job offer""}"
jobOffer.create,"{""en-US"": ""new job offer""}"
jobOffer.create,"{""en-US"": ""job offer""}"
jobOffer.create,"{""en-US"": ""Make a new job offer for me""}"
jobOffer.create,"{""en-US"": ""Creation of a new job offer""}"
jobOffer.create,"{""en-US"": ""Can you make new job offer creation""}"
jobOffer.create,"{""en-US"": ""E, please create job offer""}"
jobOffer.create,"{""en-US"": ""Let me create new job offer""}"
jobOffer.create,"{""en-US"": ""Please create new job offer""}"
jobOffer.create,"{""en-US"": ""Make me a new job offer""}"
jobOffer.create,"{""en-US"": ""I want to offer a job""}"
jobOffer.create,"{""en-US"": ""create job offer""}"
jobOffer.create,"{""en-US"": ""I want to offer a job to Anthony""}"
jobOffer.create,"{""en-US"": ""create job offer to Teresa""}"
jobOffer.create,"{""en-US"": ""make job offer to Dan""}"
jobOffer.create,"{""en-US"": ""I need a new job offer""}"
jobOffer.create,"{""en-US"": ""I need a new job offer to be created""}"
jobOffer.create,"{""en-US"": ""Can you please create a new job offer""}"
jobOffer.create,"{""en-US"": ""I need you to create job offer""}"
jobOffer.create,"{""en-US"": ""Please create job offer""}"
jobOffer.evaluate,"{""en-US"": ""Evaluation job offer""}"
jobOffer.evaluate,"{""en-US"": ""Evaluate offer of a job""}"
jobOffer.evaluate,"{""en-US"": ""Eval offer job""}"
jobOffer.evaluate,"{""en-US"": ""Eval job offer""}"
jobOffer.evaluate,"{""en-US"": ""Job offer evaluate""}"
jobOffer.evaluate,"{""en-US"": ""Can you please let me evaluate a job offer""}"
jobOffer.evaluate,"{""en-US"": ""Let me evaluate a job offer""}"
jobOffer.evaluate,"{""en-US"": ""I want to evaluate a job offer""}"
jobOffer.evaluate,"{""en-US"": ""Please evaluate job offer""}"
jobOffer.evaluate,"{""en-US"": ""Pls evaluate a job offer""}"
jobOffer.evaluate,"{""en-US"": ""Evaluate job offer""}"
jobOffer.evaluate,"{""en-US"": ""Make an evaluation of job offer""}"
jobOffer.evaluate,"{""en-US"": ""I need a job offer evaluated""}"
jobOffer.evaluate,"{""en-US"": ""Pls evaluate job offer""}"
jobOffer.evaluate,"{""en-US"": ""Please let me evaluate a job offer""}"
jobOffer.revoke,"{""en-US"": ""Pls rvk job offer""}"
jobOffer.revoke,"{""en-US"": ""Please I want you to revoke job offer""}"
jobOffer.revoke,"{""en-US"": ""I need you to revoke this job offer""}"
jobOffer.revoke,"{""en-US"": ""Make a job offering revoked""}"
jobOffer.revoke,"{""en-US"": ""Help me to revoke a job offering""}"
jobOffer.revoke,"{""en-US"": ""Revoke this job offer""}"
jobOffer.revoke,"{""en-US"": ""Pls revoke job offer""}"
jobOffer.revoke,"{""en-US"": ""Let me revoke a job offer""}"
jobOffer.revoke,"{""en-US"": ""Can you please help me to revoke this job offering""}"
jobOffer.revoke,"{""en-US"": ""Rvk job offer""}"
jobOffer.revoke,"{""en-US"": ""Can you please let me revoke a job offer""}"
jobOffer.revoke,"{""en-US"": ""I need to revoke this job offer""}"
jobOffer.revoke,"{""en-US"": ""Revoke job offer""}"
jobOffer.revoke,"{""en-US"": ""I want to withdraw a job offer""}"
jobOffer.revoke,"{""en-US"": ""withdraw job offer""}"
jobPosting.cancel,"{""en-US"": ""Cancel job posting now""}"
jobPosting.cancel,"{""en-US"": ""I want you to cancel a job position posting""}"
jobPosting.cancel,"{""en-US"": ""Can you please make this posting for a job position cancelled""}"
jobPosting.cancel,"{""en-US"": ""E, make job posting cancelled""}"
jobPosting.cancel,"{""en-US"": ""I want a job posting cancelled""}"
jobPosting.cancel,"{""en-US"": ""Make job posting cancelled""}"
jobPosting.cancel,"{""en-US"": ""Please cancel job posting now""}"
jobPosting.cancel,"{""en-US"": ""Pls cancel job posting""}"
jobPosting.cancel,"{""en-US"": ""I want to cancel job posting""}"
jobPosting.cancel,"{""en-US"": ""Can you please cancel job posting""}"
jobPosting.cancel,"{""en-US"": ""Cancel job posting""}"
jobPosting.cancel,"{""en-US"": ""I need to cancel a job posting""}"
jobPosting.create,"{""en-US"": ""Please publish job requisition""}"
jobPosting.create,"{""en-US"": ""publish job requistion""}"
jobPosting.create,"{""en-US"": ""I need to publish job req""}"
jobPosting.create,"{""en-US"": ""Publish job rec""}"
jobPosting.create,"{""en-US"": ""I need to post a job requisition""}"
jobPosting.create,"{""en-US"": ""I want to post a job requisition""}"
jobPosting.create,"{""en-US"": ""distribute requistion""}"
jobPosting.create,"{""en-US"": ""I need to publish this job requisition""}"
jobPosting.create,"{""en-US"": ""circulate req""}"
jobPosting.create,"{""en-US"": ""Publish job requisition""}"
jobPosting.create,"{""en-US"": ""Please post this job requisition""}"
jobPosting.create,"{""en-US"": ""disseminate job rec""}"
jobPosting.create,"{""en-US"": ""Please make this job requisition posted""}"
jobPosting.create,"{""en-US"": ""I want you to publish job rec""}"
jobPosting.create,"{""en-US"": ""Can pls pub job rec""}"
jobPosting.create,"{""en-US"": ""Pls publish job rec""}"
jobPosting.create,"{""en-US"": ""issue job req""}"
jobPosting.create,"{""en-US"": ""Can you please publish job requisition""}"
jobPosting.create,"{""en-US"": ""new job posting""}"
jobPosting.create,"{""en-US"": ""job posting create""}"
jobPosting.create,"{""en-US"": ""create job posting""}"
jobPosting.create,"{""en-US"": ""create new job posting""}"
jobPosting.update,"{""en-US"": ""correct employment opportunity""}"
jobPosting.update,"{""en-US"": ""edit job listing""}"
jobPosting.update,"{""en-US"": ""adjust job posting""}"
jobPosting.update,"{""en-US"": ""change job listing""}"
jobPosting.update,"{""en-US"": ""modify employment opportunity""}"
jobPosting.update,"{""en-US"": ""update job posting""}"
jobPosting.update,"{""en-US"": ""update employment opportunity""}"
jobPosting.update,"{""en-US"": ""update employment oppty""}"
jobPosting.update,"{""en-US"": ""make adjustments in job posting""}"
jobPosting.update,"{""en-US"": ""change job posting""}"
jobPosting.update,"{""en-US"": ""edit job posting""}"
jobPosting.update,"{""en-US"": ""correct job posting""}"
jobReferral.activate,"{""en-US"": ""start job referral""}"
jobReferral.activate,"{""en-US"": ""launch referral""}"
jobReferral.activate,"{""en-US"": ""open job referral""}"
jobReferral.activate,"{""en-US"": ""switch on referral""}"
jobReferral.activate,"{""en-US"": ""turn on employee referral""}"
jobReferral.activate,"{""en-US"": ""initiate recommendation""}"
jobReferral.activate,"{""en-US"": ""activate job referral""}"
jobReferral.activate,"{""en-US"": ""activation of a job recommendation""}"
jobReferral.activate,"{""en-US"": ""activation of a job recommendation referral""}"
jobReferral.activate,"{""en-US"": ""activate job recommendation""}"
jobReferral.activate,"{""en-US"": ""job referral activation please""}"
jobReferral.activate,"{""en-US"": ""i need to turn on job referral""}"
jobReferral.cancel,"{""en-US"": ""job referral cancellation""}"
jobReferral.cancel,"{""en-US"": ""rescind referrence""}"
jobReferral.cancel,"{""en-US"": ""stop employee referral""}"
jobReferral.cancel,"{""en-US"": ""changed my mind about recommendation""}"
jobReferral.cancel,"{""en-US"": ""cancel job referral""}"
jobReferral.cancel,"{""en-US"": ""I need to rescind job referrence""}"
jobReferral.cancel,"{""en-US"": ""stop employee job referral""}"
jobReferral.cancel,"{""en-US"": ""i need to cancel job referral""}"
jobReferral.cancel,"{""en-US"": ""cancel job referral of an employee""}"
jobReferral.cancel,"{""en-US"": ""cancel job recommendation""}"
jobReferral.cancel,"{""en-US"": ""rescind job referral""}"
jobReferral.cancel,"{""en-US"": ""stop job referral""}"
jobReferral.cancel,"{""en-US"": ""stop job recommendation""}"
jobReferral.cancel,"{""en-US"": ""employee job referral cancel""}"
jobReferral.evaluate,"{""en-US"": ""evaluate job referral""}"
jobReferral.evaluate,"{""en-US"": ""job referral evaluation""}"
jobReferral.evaluate,"{""en-US"": ""please review this worker referral""}"
jobReferral.evaluate,"{""en-US"": ""please go over a job referral evaluation""}"
jobReferral.evaluate,"{""en-US"": ""I need to recommend a job evaluation""}"
jobReferral.evaluate,"{""en-US"": ""go over referral""}"
jobReferral.evaluate,"{""en-US"": ""check out job reference""}"
jobReferral.evaluate,"{""en-US"": ""review employee referral""}"
jobReferral.evaluate,"{""en-US"": ""recommendation evaluation""}"
jobReferral.evaluate,"{""en-US"": ""eval job recommendation""}"
jobReferral.evaluate,"{""en-US"": ""eval job referral""}"
jobReferral.evaluate,"{""en-US"": ""evaluate referral""}"
jobReferral.evaluate,"{""en-US"": ""review job referral""}"
jobReferral.evaluate,"{""en-US"": ""check job recommendation""}"
jobReferral.evaluate,"{""en-US"": ""review job referral""}"
jobReferral.hold,"{""en-US"": ""suspend referral""}"
jobReferral.hold,"{""en-US"": ""place a hold on job referral""}"
jobReferral.hold,"{""en-US"": ""put job referral on hold""}"
jobReferral.hold,"{""en-US"": ""defer referral""}"
jobReferral.hold,"{""en-US"": ""delay employee referral""}"
jobReferral.hold,"{""en-US"": ""postpone recommendation""}"
jobReferral.hold,"{""en-US"": ""hold job referral""}"
jobReferral.hold,"{""en-US"": ""hold job ref""}"
jobReferral.hold,"{""en-US"": ""put job recommendation on hold""}"
jobReferral.hold,"{""en-US"": ""defer job recommendation""}"
jobReferral.hold,"{""en-US"": ""job recommendation on hold please""}"
jobReferral.hold,"{""en-US"": ""job recommendation postpone""}"
jobReferral.payment,"{""en-US"": ""provide benefits for job referral""}"
jobReferral.payment,"{""en-US"": ""please referral payment""}"
jobReferral.payment,"{""en-US"": ""get paid for job reference""}"
jobReferral.payment,"{""en-US"": ""I need to pay someone for job referral""}"
jobReferral.payment,"{""en-US"": ""bonus for job referral""}"
jobReferral.payment,"{""en-US"": ""I need to compensate a job recommendation""}"
jobReferral.payment,"{""en-US"": ""job referral payment""}"
jobReferral.payment,"{""en-US"": ""reference benefit""}"
jobReferral.payment,"{""en-US"": ""recommendation compensation""}"
jobReferral.payment,"{""en-US"": ""employee referral award""}"
jobReferral.payment,"{""en-US"": ""give bonus for job referral""}"
jobRequisition.activate,"{""en-US"": ""activate jobrec""}"
jobRequisition.activate,"{""en-US"": ""activate jobreq""}"
jobRequisition.activate,"{""en-US"": ""start requisition activation""}"
jobRequisition.activate,"{""en-US"": ""act job rec""}"
jobRequisition.activate,"{""en-US"": ""Can you please activate job rec""}"
jobRequisition.activate,"{""en-US"": ""I want please to activate a job requisition""}"
jobRequisition.activate,"{""en-US"": ""Can you please do me a favor and activate this job rec""}"
jobRequisition.activate,"{""en-US"": ""turn on job rec""}"
jobRequisition.activate,"{""en-US"": ""E system, activate job requisition""}"
jobRequisition.activate,"{""en-US"": ""activate job requistion""}"
jobRequisition.activate,"{""en-US"": ""I need to activate job rec""}"
jobRequisition.activate,"{""en-US"": ""Please activate job requisition""}"
jobRequisition.activate,"{""en-US"": ""Activate job requisition""}"
jobRequisition.activate,"{""en-US"": ""switch on requisition""}"
jobRequisition.activate,"{""en-US"": ""Activate job requisition please""}"
jobRequisition.activate,"{""en-US"": ""Activate job rec""}"
jobRequisition.activate,"{""en-US"": ""I need to activate a job requisition""}"
jobRequisition.activate,"{""en-US"": ""Can you please activate job requisition""}"
jobRequisition.cancel,"{""en-US"": ""cancel jobrec""}"
jobRequisition.cancel,"{""en-US"": ""cancel jobreq""}"
jobRequisition.cancel,"{""en-US"": ""cancel Job req""}"
jobRequisition.cancel,"{""en-US"": ""I need you please to cancel this job rec""}"
jobRequisition.cancel,"{""en-US"": ""This job requisition should be cancelled""}"
jobRequisition.cancel,"{""en-US"": ""Please cancel job rec""}"
jobRequisition.cancel,"{""en-US"": ""Can you please cancel this job requisition""}"
jobRequisition.cancel,"{""en-US"": ""I want to cancel job requisition""}"
jobRequisition.cancel,"{""en-US"": ""Cancel the job rec""}"
jobRequisition.cancel,"{""en-US"": ""Please cancel the job requisition""}"
jobRequisition.cancel,"{""en-US"": ""Anulate job requisition""}"
jobRequisition.cancel,"{""en-US"": ""Please cancel job requisition""}"
jobRequisition.cancel,"{""en-US"": ""Cancel job requisition""}"
jobRequisition.cancel,"{""en-US"": ""Cancel a job req""}"
jobRequisition.cancel,"{""en-US"": ""Cancel a new job requisition""}"
jobRequisition.cancel,"{""en-US"": ""I want to cancel a new job requisition""}"
jobRequisition.close,"{""en-US"": ""close jobrec""}"
jobRequisition.close,"{""en-US"": ""close jobreq""}"
jobRequisition.close,"{""en-US"": ""finish jobreq""}"
jobRequisition.close,"{""en-US"": ""job requisition is finished""}"
jobRequisition.close,"{""en-US"": ""Job req is filled""}"
jobRequisition.close,"{""en-US"": ""I want to finish job req""}"
jobRequisition.close,"{""en-US"": ""end job requisition""}"
jobRequisition.close,"{""en-US"": ""finish job rec""}"
jobRequisition.close,"{""en-US"": ""terminate job requisition""}"
jobRequisition.close,"{""en-US"": ""Close job rec""}"
jobRequisition.close,"{""en-US"": ""Please close job req""}"
jobRequisition.close,"{""en-US"": ""I want to close job requisition""}"
jobRequisition.close,"{""en-US"": ""close job req""}"
jobRequisition.close,"{""en-US"": ""finish job requisition""}"
jobRequisition.close,"{""en-US"": ""close job requisition""}"
jobRequisition.close,"{""en-US"": ""end job rec""}"
jobRequisition.create,"{""en-US"": ""create new jobreq""}"
jobRequisition.create,"{""en-US"": ""create jobrec""}"
jobRequisition.create,"{""en-US"": ""create a new jobrec""}"
jobRequisition.create,"{""en-US"": ""create job req""}"
jobRequisition.create,"{""en-US"": ""i want to create a new job req""}"
jobRequisition.create,"{""en-US"": ""open new job rec""}"
jobRequisition.create,"{""en-US"": ""open new job requisition""}"
jobRequisition.create,"{""en-US"": ""open job requisition""}"
jobRequisition.create,"{""en-US"": ""Make me a new job requisition""}"
jobRequisition.create,"{""en-US"": ""Let¬¥s create a new job rec""}"
jobRequisition.create,"{""en-US"": ""Can you please start a new job rec creation""}"
jobRequisition.create,"{""en-US"": ""Start new job rec""}"
jobRequisition.create,"{""en-US"": ""Can you please create job requisition new""}"
jobRequisition.create,"{""en-US"": ""I want to create a new job requisition""}"
jobRequisition.create,"{""en-US"": ""Create job requisition, pls""}"
jobRequisition.create,"{""en-US"": ""Pls job rec create""}"
jobRequisition.create,"{""en-US"": ""New job rec create""}"
jobRequisition.create,"{""en-US"": ""Please create job requisition""}"
jobRequisition.create,"{""en-US"": ""Can you pls create job rec""}"
jobRequisition.create,"{""en-US"": ""I need to create job requisition""}"
jobRequisition.create,"{""en-US"": ""Create new job requisition""}"
jobRequisition.create,"{""en-US"": ""Create job requisition""}"
jobRequisition.create,"{""en-US"": ""Can you please create a new job requisition""}"
jobRequisition.hold,"{""en-US"": ""hold jobreq""}"
jobRequisition.hold,"{""en-US"": ""put jobrec on hold""}"
jobRequisition.hold,"{""en-US"": ""suspend jobreq""}"
jobRequisition.hold,"{""en-US"": ""postpone rec""}"
jobRequisition.hold,"{""en-US"": ""delay req""}"
jobRequisition.hold,"{""en-US"": ""Hold job requisition""}"
jobRequisition.hold,"{""en-US"": ""Can you please put job rec on hold""}"
jobRequisition.hold,"{""en-US"": ""Can you please put job rec on hold state""}"
jobRequisition.hold,"{""en-US"": ""place job rec on hold""}"
jobRequisition.hold,"{""en-US"": ""Hold job rec""}"
jobRequisition.hold,"{""en-US"": ""Put job requisition on hold""}"
jobRequisition.hold,"{""en-US"": ""suspend requisition""}"
jobRequisition.hold,"{""en-US"": ""I want to hold this job requisition""}"
jobRequisition.hold,"{""en-US"": ""Can you please put job requisition on hold""}"
jobRequisition.hold,"{""en-US"": ""Please hold job requisition""}"
jobRequisition.hold,"{""en-US"": ""Help me to hold job requisition""}"
jobRequisition.hold,"{""en-US"": ""I need to hold job requisition""}"
jobRequisition.hold,"{""en-US"": ""put job req on hold""}"
jobRequisition.hold,"{""en-US"": ""I want to please hold job requisition""}"
jobRequisition.update,"{""en-US"": ""update jobreq""}"
jobRequisition.update,"{""en-US"": ""update jobreq""}"
jobRequisition.update,"{""en-US"": ""adjust jobreq""}"
jobRequisition.update,"{""en-US"": ""job requisition update""}"
jobRequisition.update,"{""en-US"": ""changes in job requisition""}"
jobRequisition.update,"{""en-US"": ""update job req""}"
jobRequisition.update,"{""en-US"": ""update job requisition""}"
jobRequisition.update,"{""en-US"": ""update this job req""}"
jobRequisition.update,"{""en-US"": ""change job req""}"
jobRequisition.update,"{""en-US"": ""revise rec""}"
jobRequisition.update,"{""en-US"": ""adjust requistion""}"
jobRequisition.update,"{""en-US"": ""edit req""}"
jobRequisition.update,"{""en-US"": ""modify job rec""}"
jobRequisition.update,"{""en-US"": ""update job requistion""}"
jobRequisition.update,"{""en-US"": "" correct requisition""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""recruiter assign job requisition""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""assign job rec recruiter""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""assign job req""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""assign job requisition recruiter""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""recruiter assignnment""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""pick job recruiter""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""choose requisition recruiter""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""select recruiter for job rec""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""designate recruiter for req""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""authorize recruiter for job req""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""appoint requisition recruiter""}"
jobRequisitionRecruiter.assign,"{""en-US"": ""assign recruiter for job requistion""}"
jobSearch.create,"{""en-US"": ""start looking for job""}"
jobSearch.create,"{""en-US"": ""make search""}"
jobSearch.create,"{""en-US"": ""new job search""}"
jobSearch.create,"{""en-US"": ""add position search""}"
jobSearch.create,"{""en-US"": ""create search""}"
jobSearch.create,"{""en-US"": ""set up employment search""}"
jobSearch.delete,"{""en-US"": ""get rid of search""}"
jobSearch.delete,"{""en-US"": ""eliminate search""}"
jobSearch.delete,"{""en-US"": ""remove employment search""}"
jobSearch.delete,"{""en-US"": ""take away job search""}"
jobSearch.delete,"{""en-US"": ""delete job search""}"
jobSearch.update,"{""en-US"": ""correct search""}"
jobSearch.update,"{""en-US"": ""modify search""}"
jobSearch.update,"{""en-US"": ""change employment search""}"
jobSearch.update,"{""en-US"": ""update job search""}"
jobSearch.update,"{""en-US"": ""adjust job search""}"
jobSearch.update,"{""en-US"": ""edit employment search""}"
lateralMove,"{""en-US"": ""worker is moving lateral""}"
lateralMove,"{""en-US"": ""worker lateral move""}"
lateralMove,"{""en-US"": ""Anthony move lateral""}"
lateralMove,"{""en-US"": ""Teresa change carreer path""}"
lateralMove,"{""en-US"": ""worker career side move""}"
lateralMove,"{""en-US"": ""associate lateral move career""}"
lateralMove,"{""en-US"": ""Pascual move lateral""}"
lateralMove,"{""en-US"": ""associate move career sideways""}"
lateralMove,"{""en-US"": ""employee move career path lateral""}"
lateralMove,"{""en-US"": ""Bruno will move sideways""}"
lateralMove,"{""en-US"": ""worker career lateral change""}"
lateralMove,"{""en-US"": ""Dan change career lateral move""}"
legalEntity.activate,"{""en-US"": ""start legal entity""}"
legalEntity.activate,"{""en-US"": ""launch legal entity""}"
legalEntity.activate,"{""en-US"": ""open legal entity""}"
legalEntity.activate,"{""en-US"": ""switch on legal entity""}"
legalEntity.activate,"{""en-US"": ""legal entity activation""}"
legalEntity.activate,"{""en-US"": ""turn on legal entity""}"
legalEntity.activate,"{""en-US"": ""initiate legal entity""}"
legalEntity.activate,"{""en-US"": ""activate legal entity""}"
legalEntity.activate,"{""en-US"": ""make activation to legal entity""}"
legalEntity.activate,"{""en-US"": ""make legal entity active""}"
legalEntity.activate,"{""en-US"": ""I need to open a legal entity""}"
legalEntity.activate,"{""en-US"": ""I need to turn on legal entity""}"
legalEntity.activate,"{""en-US"": ""Please activ legal entity""}"
legalEntity.close,"{""en-US"": ""terminate legal entity""}"
legalEntity.close,"{""en-US"": ""resolve legal entity""}"
legalEntity.close,"{""en-US"": ""quit legal entity""}"
legalEntity.close,"{""en-US"": ""end legal entity""}"
legalEntity.close,"{""en-US"": ""conclude legal entity""}"
legalEntity.close,"{""en-US"": ""stop legal entity""}"
legalEntity.close,"{""en-US"": ""finish legal entity""}"
legalEntity.close,"{""en-US"": ""complete legal entity""}"
legalEntity.close,"{""en-US"": ""close legal entity""}"
legalEntity.close,"{""en-US"": ""I need to finish a legal entity""}"
legalEntity.close,"{""en-US"": ""please complete legal enty""}"
legalEntity.close,"{""en-US"": ""closing legal entity""}"
legalEntity.close,"{""en-US"": ""entity legal finish""}"
legalEntity.close,"{""en-US"": ""close up legal entity""}"
legalEntity.close,"{""en-US"": ""I need to terminate legal entity""}"
legalEntity.create,"{""en-US"": ""establish legal entity""}"
legalEntity.create,"{""en-US"": ""set up legal entity""}"
legalEntity.create,"{""en-US"": ""make legal entity""}"
legalEntity.create,"{""en-US"": ""add legal entity""}"
legalEntity.create,"{""en-US"": ""create legal entity""}"
legalEntity.create,"{""en-US"": ""start legal entity""}"
legalEntity.create,"{""en-US"": ""new legal entity""}"
legalEntity.create,"{""en-US"": ""please create a new legal entity""}"
legalEntity.create,"{""en-US"": ""creation of a new legal entity""}"
legalEntity.create,"{""en-US"": ""please make me a new legal entity""}"
legalEntity.create,"{""en-US"": ""i need to set up more legal entity""}"
legalEntity.deactivate,"{""en-US"": ""stop legal entity""}"
legalEntity.deactivate,"{""en-US"": ""turn off legal entity""}"
legalEntity.deactivate,"{""en-US"": ""shut off legal entity""}"
legalEntity.deactivate,"{""en-US"": ""inactivation legal entity""}"
legalEntity.deactivate,"{""en-US"": ""disconnect legal entity""}"
legalEntity.deactivate,"{""en-US"": ""disable legal entity""}"
legalEntity.deactivate,"{""en-US"": ""legal entity deactivation""}"
legalEntity.deactivate,"{""en-US"": ""deactivate legal entity""}"
legalEntity.deactivate,"{""en-US"": ""make inactive legal entity""}"
legalEntity.deactivate,"{""en-US"": ""i need to inactivate legal entity""}"
legalEntity.deactivate,"{""en-US"": ""please entity legal inactive""}"
legalEntity.deactivate,"{""en-US"": ""make deactivation of legal entity""}"
legalEntity.deactivate,"{""en-US"": ""please shut off legal entity""}"
legalEntity.deactivate,"{""en-US"": ""plese stop legal entity""}"
legalEntity.delete,"{""en-US"": ""deletion of legal entities""}"
legalEntity.delete,"{""en-US"": ""elim legal entity""}"
legalEntity.delete,"{""en-US"": ""legal entity delete now""}"
legalEntity.delete,"{""en-US"": ""make away legal entity please""}"
legalEntity.delete,"{""en-US"": ""legal entity eliminate""}"
legalEntity.delete,"{""en-US"": ""get rid of legal entity""}"
legalEntity.delete,"{""en-US"": ""take away legal entity""}"
legalEntity.delete,"{""en-US"": ""eliminate legal entity""}"
legalEntity.delete,"{""en-US"": ""rem legal entity""}"
legalEntity.delete,"{""en-US"": ""remove legal entity""}"
legalEntity.delete,"{""en-US"": ""del legal entity""}"
legalEntity.delete,"{""en-US"": ""delete legal entity""}"
legalEntity.update,"{""en-US"": ""correct legal entity""}"
legalEntity.update,"{""en-US"": ""edit legal entity""}"
legalEntity.update,"{""en-US"": ""adjust legal entity""}"
legalEntity.update,"{""en-US"": ""modif legal entity""}"
legalEntity.update,"{""en-US"": ""modify legal entity""}"
legalEntity.update,"{""en-US"": ""change legal entity""}"
legalEntity.update,"{""en-US"": ""updt legal entity""}"
legalEntity.update,"{""en-US"": ""update legal entity""}"
legalEntity.update,"{""en-US"": ""make modifications into legal entity""}"
legalEntity.update,"{""en-US"": ""please make updates to legal entity""}"
legalEntity.update,"{""en-US"": ""correct a legal entity please""}"
legalEntity.update,"{""en-US"": ""I need to make adjustments into a legal entity""}"
legalEntity.update,"{""en-US"": ""I need to correct a legal entity""}"
level.activate,"{""en-US"": ""start job level""}"
level.activate,"{""en-US"": ""launch career level""}"
level.activate,"{""en-US"": ""open position level""}"
level.activate,"{""en-US"": ""switch on job level""}"
level.activate,"{""en-US"": ""turn on career level""}"
level.activate,"{""en-US"": ""initiate pos level""}"
level.activate,"{""en-US"": ""initiate position level""}"
level.activate,"{""en-US"": ""job level activation""}"
level.activate,"{""en-US"": ""activaton job level""}"
level.activate,"{""en-US"": ""activate job level""}"
level.create,"{""en-US"": ""make a new job level""}"
level.create,"{""en-US"": ""create new job position level""}"
level.create,"{""en-US"": ""I need to setup another job level""}"
level.create,"{""en-US"": ""job level creation""}"
